Feature ID,Surface,Feature / capability,User story,Expected behavior based on code,Code anchors,Initial test approach,Initial test command or route,Status,Test result,Errors,Fix status,Retest result,Notes
F026,Cleanup,Orphans and trash,"As an operator, I want recoverable cleanup, so accidental removal does not destroy skill data.","Orphans are listed before optional cleanup and trash supports dry-run restore and confirmed purge semantics.","src/commands/trash_cmds.rs; tests/trash.rs; tests/remove.rs",Cleanup tests,"cargo test --test trash --test remove",Not Tested,,,,,
F027,Backup,Export inspect and restore,"As a user, I want portable backups, so registry recovery is independent of the current machine.","Backups are exportable inspectable checksum-validated and restorable only into a safe destination.","src/commands/backup_cmds.rs; tests/backup.rs",Backup integration tests,"cargo test --test backup",Not Tested,,,,,
F028,Catalog,Providers search preview and install,"As a user discovering skills, I want catalog previews and trust gates, so I can inspect content before installation.","Providers are configurable catalog metadata is searchable and previews do not execute code before explicit trusted install.","src/commands/provider_cmds.rs; src/commands/catalog_cmds.rs; tests/provider_cli.rs; tests/skill_preflight.rs",Provider and preflight tests,"cargo test --test provider_cli --test skill_preflight",Not Tested,,,,,
F029,Packaging,Plan build and verify,"As a publisher, I want portable deterministic packages, so consumers can verify content before installation.","Package build requires a reviewed plan and idempotency key and verification checks manifest checksums and safe paths.","src/commands/package_cmds.rs; tests/package_export.rs",Package tests,"cargo test --test package_export",Not Tested,,,,,
F030,Skillsets,Grouped skill lifecycle,"As a team lead, I want named skillsets, so related skills can be activated evaluated released and rolled back together.","Skillsets support membership roles validation activation evaluation release and rollback.","src/commands/skillset_cmds.rs; tests/skillset_cli.rs",Skillset integration tests,"cargo test --test skillset_cli",Not Tested,,,,,
F031,Workflows,Multi-skill workflows,"As an operator, I want guarded workflow plans, so multi-skill automation is reviewable before execution.","Workflows can be created inspected planned and preflighted with stable artifacts and no implicit mutation.","src/commands/workflow_cmds.rs; tests/workflow_cli.rs",Workflow tests,"cargo test --test workflow_cli",Not Tested,,,,,
F032,Instructions,Instruction surface migration,"As a user with CLAUDE.md and AGENTS.md guidance, I want overlap diagnostics, so instructions and skills do not conflict.","Instruction commands scan show classify diagnose and produce non-mutating migration plans.","src/commands/instruction_cmds.rs; tests/instruction_surfaces.rs",Instruction surface tests,"cargo test --test instruction_surfaces",Not Tested,,,,,
F033,MCP,MCP requirements and provisioning,"As a skill user, I want MCP dependencies planned and diagnosed, so external tools are configured with explicit approval.","MCP commands list requirements search catalogs diagnose readiness and require reviewed plans and approvals for apply.","src/commands/mcp_cmds.rs; tests/mcp_provisioning.rs; tests/mcp_apply_review.rs",MCP provisioning tests,"cargo test --test mcp_provisioning --test mcp_apply_review",Not Tested,,,,,
F034,Remote environments,Provision plan apply export import,"As a remote developer, I want portable provisioning artifacts, so devcontainers and remote agents can reproduce skill setup.","Provisioning is plan-first supports readiness diagnosis guarded apply export and safe dry-run import.","src/commands/provision/; tests/provision_cli.rs; tests/provision_export_import.rs",Provisioning tests,"cargo test --test provision_cli --test provision_export_import",Not Tested,,,,,
F035,Governance,Policy approvals and roles,"As an organization owner, I want policy checks approvals and roles, so high-risk skill actions follow team governance.","Git-backed policies produce explicit decisions approvals are auditable and role grants control protected actions.","src/commands/policy_cmds.rs; tests/skill_policy.rs; tests/org_policy.rs",Governance tests,"cargo test --test skill_policy --test org_policy",Not Tested,,,,,
F036,Automation,Durable plan and apply,"As an agent integrator, I want durable idempotent plans, so retries cannot duplicate mutations.","Plans persist reviewed intent and apply requires an idempotency key with replay-safe outcomes.","src/commands/plan_cmds.rs; tests/agent_plan_apply.rs",Plan/apply tests,"cargo test --test agent_plan_apply",Not Tested,,,,,
F037,Automation,Agent preflight and Codex reconcile,"As an agent user, I want preflight and visibility repair, so automation selects a valid target before mutation.","Agent preflight requires a binding and Codex reconcile separates dry-run from explicitly approved config or projection repair.","src/commands/agent_cmds.rs; src/commands/codex_cmds.rs; tests/agent_preflight.rs; tests/codex_visibility.rs",Agent integration tests,"cargo test --test agent_preflight --test codex_visibility",Not Tested,,,,,
F038,Sync,Push pull and replay,"As a team user, I want safe registry synchronization, so Git divergence and queued operations are explicit.","Sync exposes status dry-run push pull and replay with conflict-aware failures.","src/commands/sync_cmds.rs; tests/workflow_cli.rs",Sync command tests,"cargo test --test workflow_cli",Not Tested,,,,,
F039,Recovery,Operation history and repair,"As an operator, I want retry purge diagnose and repair tools, so interrupted mutations can be recovered safely.","Ops history is inspectable retries and purges are bounded and repair requires an explicit local or remote strategy.","src/commands/ops_cmds.rs; tests/reliability.rs; tests/rollback_projection_reconciliation.rs",Recovery and reliability tests,"cargo test --test reliability --test rollback_projection_reconciliation",Not Tested,,,,,
F040,Safety,Root guard and concurrent writes,"As a user, I want destructive commands blocked outside a valid registry, so a path mistake cannot damage unrelated files.","Repository root validation locking journaling and rollback checks fail closed under invalid roots and concurrent mutation.","src/state/lock.rs; src/state/journal.rs; tests/root_guard.rs; tests/reliability.rs",Safety integration tests,"cargo test --test root_guard --test reliability",Not Tested,,,,,
F041,Panel,Local server and authorization,"As a local user, I want a safe control panel, so only authorized loopback requests can mutate my registry.","Panel serves embedded assets on loopback and mutation endpoints enforce the configured authorization and origin contract.","src/panel/auth.rs; src/panel/static_serve.rs; src/panel/tests/security.rs",Panel backend tests,"cargo test panel::tests; cargo test --test panel_auth",Not Tested,,,,,
F042,Panel,Overview and navigation,"As a new user, I want an honest overview and clear navigation, so I can understand registry state immediately.","Overview metrics and navigation labels come from real API state and unavailable data is presented honestly.","panel/src/pages/PanelApp.tsx; panel/src/pages/panel/OverviewPage.tsx; panel/src/components/panel/Sidebar.tsx",Component tests and browser smoke,"cd panel && bun run test; /",Not Tested,,,,,
F043,Panel,Skill management,"As a visual user, I want to inspect search import project and maintain skills, so common lifecycle work does not require memorizing CLI syntax.","The Skills surface lists authoritative registry data and exposes supported actions with confirmation feedback.","panel/src/pages/SkillMPanel.tsx; panel/src/pages/panel/SkillsPage.tsx; src/panel/tests/handlers/skill_endpoints.rs",Panel and API tests,"cd panel && bun run test; cargo test panel::tests",Passed,"Initial audit reproduced a disconnected add label, an offline first-load claim, 120 full skill cards, and observed rows labeled missing.","Issues #641 and #642: import flow absent; initial state misleading; inventory DOM unbounded; observed-only source status ambiguous.",Fixed,"bun run test passed 26 files / 181 tests; cargo test panel::tests --lib passed 59 tests including the 9 focused skill endpoint tests; focused import/loading/pagination/selection/status tests pass.","Import accepts backend-supported source strings and validated names, preserves failed input and next actions, refreshes/focuses success, paginates 24 cards while filtering full inventory, and uses observed-only copy."
F044,Panel,Targets bindings and projections,"As a multi-agent user, I want targets bindings and projections manageable in the UI, so projection routing is visible and editable.","The production SkillM shell creates real targets and bindings and uses a reviewed projection flow while preserving backend failures in the active form.","panel/src/pages/SkillMPanel.tsx; panel/src/components/panel/forms/TargetAddForm.tsx; panel/src/components/panel/forms/BindingAddForm.tsx; panel/src/lib/api/client.ts",Focused production-shell interactions plus full Panel and backend suites,"cd panel && bun run test -- SkillMPanel.test.tsx; cd panel && bun run test; cargo test panel::tests --lib",Passed,"Initial browser audit found target binding and projection actions explicitly labeled unwired although matching API clients already existed.","Issue #646: the production shell lost control-plane mutation parity during the SkillM replacement.",Fixed,"SkillMPanel focused tests cover preserved target failure state followed by success plus binding creation and two-step reviewed projection; 26 files / 181 Panel tests and 59 backend Panel tests pass.","All three actions use existing typed clients refresh live data after success and are disabled with concrete prerequisites while data is not live."
F045,Panel,Ops history telemetry and sync,"As an operator, I want operational pages for history analytics and sync, so recovery and collaboration do not fall back to hidden CLI-only steps.","Ops History Telemetry and Git views use live API payloads expose supported actions and label read-only or unavailable states.","panel/src/pages/SkillMPanel.tsx; panel/src/pages/SkillMAuditHistory.tsx; panel/src/lib/api/client.ts; src/panel/handlers.rs",Focused sync confirmation tests plus full Panel and backend suites,"cd panel && bun run test -- SkillMPanel.test.tsx; cd panel && bun run test; cargo test panel::tests --lib",Passed,"Initial browser audit found pull labeled unwired and no production-shell push action despite both typed API clients existing.","Issue #646: production sync mutation parity was incomplete.",Fixed,"Focused tests confirm pull and push only after an explicit dialog and verify the visible no-remote reason; full Panel and backend Panel suites pass.","Pull push and replay now use real endpoints; remote-dependent actions and offline operation mutations are disabled with concrete reasons."
F046,Panel,Accessibility and keyboard use,"As a keyboard or assistive-technology user, I want semantic controls and labeled graphics, so the complete UI is operable without guesswork.","Interactive controls have correct roles labels focus behavior and button types and decorative icons are hidden from assistive technology.","panel/src/components/; panel/src/pages/; panel/biome.json",Strict lint and component interaction tests,"cd panel && bun run lint; cd panel && bun run test",Passed,"Initial bunx biome lint src --max-diagnostics=1000 reproduced 200 production a11y diagnostics while bun run lint still exited zero.","Issue #643: missing button types and accessible SVG treatment plus invalid anchors labels static click targets keyboard gaps autofocus focus visibility and reduced-motion handling.",Fixed,"bun run lint exits zero with all ten configured a11y rules enforced as errors and no a11y diagnostics; 200 pre-existing non-a11y warnings remain; 26 files / 181 tests and the production build pass.","Focused tests cover native target controls dialog Escape behavior focus restoration and imported-card focus; reduced-motion and visible focus styles are present."
F047,Landing,First-visit conversion,"As a first-time visitor, I want a concise proof-driven explanation and copyable setup path, so I can decide and start within one scroll.","Landing explains the problem shows the local-first workflow and offers working install and quick-start actions.","panel/src/pages/LandingPage.tsx; panel/src/components/landing/; README.md",Landing component tests and manual browser smoke,"cd panel && bun run test; /landing.html",Not Tested,,,,,
F048,Agent skill,First-party Loom skill,"As an AI-agent user, I want a bundled Loom skill, so the agent can choose safe commands and explain approval boundaries.","The shipped loom-registry skill has valid metadata trigger examples and safety guidance and is included in release assets.","skills/loom-registry/SKILL.md; skills/loom-registry/agents/openai.yaml; tests/shipped_registry_skill.rs",Skill contract tests,"cargo test --test shipped_registry_skill",Not Tested,,,,,
F049,E2E,Real multi-agent lifecycle,"As a user of Claude and Codex, I want proven end-to-end flows, so installation projection and feedback work across supported directories.","The E2E script exercises Claude default and alternate directories multi-directory choice Codex legacy paths and failure feedback.","scripts/e2e-agent-flow.sh; docs/LOOM_TEST_PLAN.md",Repository E2E,"make e2e",Not Tested,,,,,
F050,Release,Repository-wide quality gate,"As a maintainer, I want one reproducible release gate, so merged changes preserve CLI Panel packaging performance and contracts.","make ci runs formatting lint module limits tests contract policy Panel gates E2E and performance smoke.","Makefile; docs/RELEASING.md; .github/workflows/ci.yml",Full local and GitHub gates,"make ci; GitHub Actions",Not Tested,,,,,
